motif	motif_importance__healthy_OPC	motif_importance__healthy_oligodendrocyte	score_raw__healthy_OPC	score_raw__healthy_oligodendrocyte	score_legacy__healthy_OPC	score_legacy__healthy_oligodendrocyte
FOX/8	0.0017853357085986744	0.002471854307617137	0.0	0.0	0.0	0.0
FOX/9	0.0006966391346089589	0.00023275218130603773	0.0	0.0	0.0	0.0
GATA	0.005214381977374495	0.005099528991616776	0.0	0.0	0.0	0.0
GC-tract	0.010013430778723019	0.01203925115730567	0.0	0.0	0.0	0.0
GCM	0.005928595067968816	0.008662623289669345	0.0	0.0	0.0	0.0
GFI	0.004612099744423046	0.0045293663059728295	0.0	0.0	0.0	0.0
GLI	0.004744239934390217	0.006728466203870956	0.0	0.0	0.0	0.0
GLIS	0.00520639736363163	0.005260409863328457	0.0	0.0	0.0	0.0
GMEB2/1	9.690717433909147e-05	5.233185513841378e-05	0.0	0.0	0.0	0.0
GMEB2/2	0.0024497656277524243	0.003981505069699144	0.0	0.0	0.0	0.0
GMEB2/3	0.0023340076151004076	0.001290005778587588	0.0	0.0	0.0	0.0
GRHL	0.005315394888165755	0.005282638205092398	0.0	0.0	0.0	0.0
HAND1	0.005922149500137617	0.006432244858587501	0.0	0.0	0.0	0.0
HD/1	0.0003241677933536101	0.0007591196311699166	0.0	0.0	0.0	0.0
HD/10	0.0008993711871278951	0.0012149726525292528	0.0	0.0	0.0	0.0
HD/11	0.00022841421416208604	0.0002513932874409784	0.0	0.0	0.0	0.0
HD/12	0.0035675426056772665	0.0022282449555796275	0.0	0.0	0.0	0.0
HD/13	0.0011403568635763662	0.0024201561456518935	0.0	0.0	0.0	0.0
HD/14	0.0024876006716314843	0.0017933950589377955	0.0	0.0	0.0	0.0
HD/15	0.0011312420302251433	0.0005748934662846971	0.0	0.0	0.0	0.0
HD/16	0.001886145031831211	0.0010432141462854473	0.0	0.0	0.0	0.0
HD/17	0.0020532741294098846	0.001483100073368855	0.0	0.0	0.0	0.0
HD/18	0.005614829340165696	0.007112428654401628	0.0	0.0	0.0	0.0
HD/19	0.0007385716451160705	0.0012417769983868706	0.0	0.0	0.0	0.0
HD/2	0.0053994022354157956	0.005869546400207333	0.0	0.0	0.0	0.0
HD/20	0.005983290115441704	0.005684901158168317	0.0	0.0	0.0	0.0
HD/21	0.0015291836094133882	0.0008044282860270501	0.0	0.0	0.0	0.0
HD/22	0.005744122817327035	0.005703156429622415	0.0	0.0	0.0	0.0
HD/23	0.00010351070847216776	0.00022414659282217047	0.0	0.0	0.0	0.0
